Fri Jun 28 02:53:05 2024    profile_data.prof

         513254174 function calls (512834223 primitive calls) in 282.596 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     55/1    0.003    0.000  284.983  284.983 {built-in method builtins.exec}
        1    0.012    0.012  284.981  284.981 checktheengine.py:1(<module>)
419158/20    2.700    0.000  284.753   14.238 engine.py:223(alpha_beta_pruning)
   844220    0.600    0.000  103.788    0.000 engine.py:171(get_board_str)
   844240    1.332    0.000  103.193    0.000 __init__.py:2413(fen)
   844240    2.316    0.000  101.714    0.000 __init__.py:2681(epd)
   844240   33.225    0.000   92.842    0.000 __init__.py:979(board_fen)
    47073    3.926    0.000   80.196    0.002 engine.py:107(get_valid_actions)
  1491803    0.632    0.000   60.272    0.000 __init__.py:2861(san)
  1491803    1.417    0.000   59.640    0.000 __init__.py:2878(_algebraic)
 77692672   31.066    0.000   55.811    0.000 __init__.py:725(piece_at)
  1491803    2.765    0.000   54.686    0.000 __init__.py:2883(_algebraic_and_push)
   425062    1.173    0.000   45.575    0.000 engine.py:160(update_history)
  4792249    7.231    0.000   41.202    0.000 __init__.py:3582(generate_legal_moves)
   369708    0.228    0.000   31.605    0.000 engine.py:174(StaticValue)
   369708   13.025    0.000   31.377    0.000 engine.py:185(PieceDifference)
  1916865   11.469    0.000   28.790    0.000 __init__.py:2200(push)
   425062    0.528    0.000   22.785    0.000 __init__.py:3091(push_san)
 84936333   21.938    0.000   21.938    0.000 __init__.py:735(piece_type_at)
   425062    1.397    0.000   21.455    0.000 copy.py:128(deepcopy)
  1491803    4.946    0.000   20.920    0.000 __init__.py:2899(_algebraic_without_suffix)
   419158    0.350    0.000   20.362    0.000 engine.py:136(is_terminal_history)
   425062    0.509    0.000   18.757    0.000 __init__.py:1402(__deepcopy__)
   425062    1.570    0.000   18.167    0.000 __init__.py:3738(copy)
 18208078    7.757    0.000   16.752    0.000 __init__.py:496(symbol)
   419158    0.544    0.000   15.547    0.000 engine.py:94(is_draw)
   425062    2.980    0.000   14.442    0.000 __init__.py:3001(parse_san)
  4655774    6.779    0.000   13.741    0.000 __init__.py:1706(generate_pseudo_legal_moves)
   615887    0.455    0.000   12.843    0.000 {built-in method builtins.any}
   425062    0.875    0.000   12.721    0.000 __init__.py:3757(<listcomp>)
  2848067    1.252    0.000   12.115    0.000 __init__.py:1805(is_check)
  5859894    2.596    0.000   12.102    0.000 __init__.py:823(attackers_mask)
  1620974    4.015    0.000   11.846    0.000 copy.py:66(copy)
  2848067    2.078    0.000   10.863    0.000 __init__.py:1793(checkers_mask)
   939483    0.620    0.000   10.441    0.000 __init__.py:1980(is_checkmate)
   416781    0.672    0.000   10.225    0.000 __init__.py:1987(is_stalemate)
  5860733    9.508    0.000    9.508    0.000 __init__.py:805(_attackers_mask)
 19459271    6.826    0.000    8.695    0.000 __init__.py:60(piece_symbol)
   841543    0.602    0.000    7.948    0.000 engine.py:83(is_win)
  2290482    4.343    0.000    6.587    0.000 __init__.py:3525(_slider_blockers)
  2898959    2.225    0.000    6.393    0.000 __init__.py:3544(_is_safe)
  1491803    3.580    0.000    5.966    0.000 __init__.py:585(from_uci)
   844240    2.731    0.000    5.813    0.000 __init__.py:2376(castling_xfen)
  3835085    4.316    0.000    5.707    0.000 __init__.py:901(_remove_piece_at)
 26190483    5.460    0.000    5.460    0.000 <string>:2(__init__)
 15310329    4.612    0.000    5.204    0.000 __init__.py:314(scan_reversed)
  4552583    2.753    0.000    4.940    0.000 __init__.py:764(king)
  1620974    2.452    0.000    4.484    0.000 copy.py:259(_reconstruct)
  1917402    2.177    0.000    3.998    0.000 __init__.py:939(_set_piece_at)
 43963068    3.968    0.000    3.968    0.000 {method 'append' of 'list' objects}
   425062    0.712    0.000    3.793    0.000 __init__.py:1381(copy)
  7792587    2.786    0.000    3.665    0.000 __init__.py:311(msb)
  1916865    0.955    0.000    3.612    0.000 __init__.py:2194(_board_state)
  1491803    1.521    0.000    3.537    0.000 __init__.py:2321(pop)
   425082    0.601    0.000    3.085    0.000 __init__.py:1584(__init__)
  1916865    2.658    0.000    2.658    0.000 __init__.py:1434(__init__)
   639876    0.946    0.000    2.302    0.000 __init__.py:3557(_generate_evasions)
  1691930    2.233    0.000    2.233    0.000 __init__.py:775(attacks_mask)
   721345    0.317    0.000    2.201    0.000 __init__.py:826(is_attacked_by)
  1916959    1.386    0.000    2.054    0.000 __init__.py:3648(_from_chess960)
  3781344    1.916    0.000    1.916    0.000 {method 'index' of 'list' objects}
  2213242    1.499    0.000    1.872    0.000 __init__.py:3221(is_castling)
 19459271    1.868    0.000    1.868    0.000 typing.py:1737(cast)
  1491803    0.553    0.000    1.851    0.000 __init__.py:582(__str__)
   425062    0.342    0.000    1.720    0.000 __init__.py:1649(clear)
  1491803    1.655    0.000    1.655    0.000 __init__.py:1454(restore)
 14030955    1.471    0.000    1.471    0.000 {method 'bit_length' of 'int' objects}
   416781    0.732    0.000    1.461    0.000 __init__.py:1997(is_insufficient_material)
  3667687    1.416    0.000    1.416    0.000 {built-in method builtins.getattr}
   425062    0.450    0.000    1.377    0.000 __init__.py:1667(clear_board)
  1491711    1.045    0.000    1.322    0.000 __init__.py:3191(is_capture)
  1916865    1.300    0.000    1.300    0.000 __init__.py:3196(is_zeroing)
  1491803    1.000    0.000    1.298    0.000 __init__.py:555(uci)
  1620974    1.271    0.000    1.271    0.000 {method '__reduce_ex__' of 'object' objects}
  5980537    1.266    0.000    1.266    0.000 __init__.py:576(__bool__)
 12074374    1.265    0.000    1.265    0.000 {method 'get' of 'dict' objects}
 10073191    1.251    0.000    1.251    0.000 {method 'upper' of 'str' objects}
   425214    1.145    0.000    1.145    0.000 {method 'match' of 're.Pattern' objects}
  1620974    0.802    0.000    1.128    0.000 copyreg.py:100(__newobj__)
  3516745    0.888    0.000    0.890    0.000 __init__.py:3184(is_en_passant)
  1150681    0.846    0.000    0.846    0.000 __init__.py:476(between)
  3645671    0.834    0.000    0.834    0.000 __init__.py:3240(clean_castling_rights)
  1604026    0.816    0.000    0.816    0.000 __init__.py:699(pieces_mask)
  2540269    0.802    0.000    0.802    0.000 {method 'join' of 'str' objects}
   369720    0.791    0.000    0.791    0.000 {built-in method builtins.round}
   425082    0.352    0.000    0.760    0.000 __init__.py:643(__init__)
   425062    0.636    0.000    0.754    0.000 copy.py:243(_keep_alive)
   850164    0.705    0.000    0.705    0.000 __init__.py:677(_clear_board)
   416782    0.159    0.000    0.629    0.000 {built-in method builtins.all}
  1916865    0.605    0.000    0.605    0.000 __init__.py:3663(_to_chess960)
  3576582    0.601    0.000    0.601    0.000 __init__.py:211(square_file)
   833562    0.314    0.000    0.570    0.000 __init__.py:2002(<genexpr>)
   844240    0.251    0.000    0.550    0.000 __init__.py:2409(has_legal_en_passant)
4902731/4902596    0.528    0.000    0.528    0.000 {built-in method builtins.len}
  3245121    0.512    0.000    0.512    0.000 {built-in method builtins.isinstance}
  2650125    0.477    0.000    0.477    0.000 {method 'group' of 're.Match' objects}
